id,title,category,price,discountPercentage,rating,stock,brand,sku,weight,availabilityStatus,returnPolicy,minimumOrderQuantity,Discount_Amount,Discounted_Price,Inventory_Value,Discounted_Inventory_Value,Discount_Band,Stock_Status
1,Essence Mascara Lash Princess,beauty,9.99,10.48,2.56,99,Essence,BEA-ESS-ESS-001,4,In Stock,No return policy,48,1.05,8.94,989.01,885.06,Medium,High Stock
2,Eyeshadow Palette with Mirror,beauty,19.99,18.19,2.86,34,Glamour Beauty,BEA-GLA-EYE-002,9,In Stock,7 days return policy,20,3.64,16.35,679.66,555.9,Medium,Medium Stock
3,Powder Canister,beauty,14.99,9.84,4.64,89,Velvet Touch,BEA-VEL-POW-003,8,In Stock,No return policy,22,1.48,13.51,1334.11,1202.39,Low,High Stock
4,Red Lipstick,beauty,12.99,12.16,4.36,91,Chic Cosmetics,BEA-CHI-LIP-004,1,In Stock,7 days return policy,40,1.58,11.41,1182.09,1038.31,Medium,High Stock
5,Red Nail Polish,beauty,8.99,11.44,4.32,79,Nail Couture,BEA-NAI-NAI-005,8,In Stock,No return policy,22,1.03,7.96,710.21,628.84,Medium,High Stock
6,Calvin Klein CK One,fragrances,49.99,1.89,4.37,29,Calvin Klein,FRA-CAL-CAL-006,7,In Stock,90 days return policy,9,0.94,49.05,1449.71,1422.45,Low,Medium Stock
7,Chanel Coco Noir Eau De,fragrances,129.99,16.51,4.26,58,Chanel,FRA-CHA-CHA-007,7,In Stock,No return policy,1,21.46,108.53,7539.42,6294.74,Medium,High Stock
8,Dior J'adore,fragrances,89.99,14.72,3.8,98,Dior,FRA-DIO-DIO-008,4,In Stock,7 days return policy,10,13.25,76.74,8819.02,7520.52,Medium,High Stock
9,Dolce Shine Eau de,fragrances,69.99,0.62,3.96,4,Dolce & Gabbana,FRA-DOL-DOL-009,6,Low Stock,7 days return policy,2,0.43,69.56,279.96,278.24,Low,Low Stock
10,Gucci Bloom Eau de,fragrances,79.99,14.39,2.74,91,Gucci,FRA-GUC-GUC-010,7,In Stock,No return policy,2,11.51,68.48,7279.09,6231.68,Medium,High Stock
11,Annibale Colombo Bed,furniture,1899.99,8.57,4.77,88,Annibale Colombo,FUR-ANN-ANN-011,10,In Stock,No return policy,1,162.83,1737.16,167199.12,152870.08,Low,High Stock
12,Annibale Colombo Sofa,furniture,2499.99,14.4,3.92,60,Annibale Colombo,FUR-ANN-ANN-012,6,In Stock,7 days return policy,1,360.0,2139.99,149999.4,128399.4,Medium,High Stock
13,Bedside Table African Cherry,furniture,299.99,19.09,2.87,64,Furniture Co.,FUR-FUR-BED-013,2,In Stock,7 days return policy,3,57.27,242.72,19199.36,15534.08,Medium,High Stock
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,2.01,4.88,26,Knoll,FUR-KNO-KNO-014,10,In Stock,60 days return policy,5,10.05,489.94,12999.74,12738.44,Low,Medium Stock
15,Wooden Bathroom Sink With Mirror,furniture,799.99,8.8,3.59,7,Bath Trends,FUR-BAT-WOO-015,10,Low Stock,60 days return policy,2,70.4,729.59,5599.93,5107.13,Low,Low Stock
